Говядина с помидором и баклажанам,140,5 руб 09 коп,Вторые блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Рыба в сыре,100,3 руб 85 коп,Вторые блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Спагетти,150,1 руб,Гарниры,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Каша перловая,200,1 руб,Гарниры,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Картофель  жареный с грибами,200,1 руб 88 коп,Гарниры,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Фасоль стручковая,мини морковь",100/50,2 руб 10 коп,Гарниры,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Горчица,25,45 коп,Соусы,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Сметана,50,50 коп,Соусы,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Соус соевый,25,34 коп,Соусы,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Кетчуп/ майонез,25,25 коп,Соусы,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Сырники с джемом,150/20,2 руб 31 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Вафли черноморские,шт.,60 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Зефир  в шоколаде,зефир",шт.,1 руб 10 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Батончик мюсли,шт.,60 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Печенье ""Фрайдей""",шт.,80 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Шоколад Спартак горький/Любимая Аленка,Каммунарка горький 20гр",шт., 40 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Шоколад Каммунарка горький 50гр/Любимая Аленка 50 г,шт.,1 руб ,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Круассан,шт.,2 руб,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Пирожок с черникой,пирожок с сыром ""Рикотто""",шт.,1 руб 25 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Шоколад""Любимая Аленка"", 100гр Шоколад""Спартак"""" 90г",шт.,2 руб,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Пончик с бананом,клубникой,белой глазурью,шоколадом,корицей",шт.,1 руб,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Маффин шоколадный,вишневый",шт.,2 руб 20 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба""",шт.,50 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба by""",шт.,60 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Йогурт,шт.,65 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
сырок глазированный,шт.,70 коп,Сладкие блюда,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Сок""Рич""в ассортименте 1л",0.2,80 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Сок ""Рич""в ассортименте 0,2",0.2,85 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Компот из апельсинов,0.2,1 руб 18 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Кола,фанта,спрайт",0.5,1 руб 50 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Кефир,0.2,56 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Чай в ассортименте,шт.,50 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Боржоми,0.5,2 руб 50 коп,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Вода""Бонаква"" с/г,б/г",0.5,1 руб,Напитки,05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Французская булочка с чесночной начиной,шт.,70 коп,"Хлеб, хлебобулочные изделия",05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
"Хлеб ""Чиабатта""",шт.,1 руб 15 коп,"Хлеб, хлебобулочные изделия",05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Хлеб,2кусочек,18 коп,"Хлеб, хлебобулочные изделия",05.04.2018,2018-04-05,Меню с 02.04 по 06.04.2018г.xls
Рулетики аппетитные,120,3 руб 65 коп,,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
Салат из овощей с ветчиной,100,1 руб 69 коп,,06.04.2018,2018-03-30,Меню с 02.04 по 06.04.2018г.xls
